poblacion,semilla_id,semilla_desc,semilla_familia,top_k_desc
semillas observadas en entrenamiento,PE-SI5152,SIKA BOOM 500ML.ESPUM.EXPANS.,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | ANTICORR.DURAC.GRIS MATE.CNC | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #8 DON BRILLO 10 UND
semillas observadas en entrenamiento,5280540471,CERM SL KIARITA NUEZ   45X45,CERAMICA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | BROCA ITALY/ALMAN CONCRET 3/8 | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC FOND.CAT.BLANCO LITRO | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN.
semillas observadas en entrenamiento,HB-KH-195,IMP MASCT SET PLATO DOBLE 14C,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | TORNILLO MDF 8X1-1/2 | TORNILLO MDF 8X2
semillas observadas en entrenamiento,HW3-0112,CERRAD.P/VITRINA 14X14 KHIDA,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | TORNILLO MDF 8X1-1/2 | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8
semillas observadas en entrenamiento,HB-EKP2204,AQ BOM PISCIN C/TRAMP 2200W220,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | CILINDRO GLP 15KG-AGIPGAS | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | TORNILLO MDF 8X1-1/2 | VIRUTA #8 DON BRILLO 10 UND
semillas observadas en entrenamiento,7861172506904,PONTE SELV HILO CHILLO 8/8 1KG,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | RIVAL CODO DESAGUE 50MMX90
semillas observadas en entrenamiento,E103.27.17.02,FV MANJ.FIORA E103.27.14.02CR,FERRETERIA,DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC FOND.CAT.BLANCO LITRO | ANTICORR.DURAC.GRIS MATE.CNC | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | TORNILLO MDF 8X1-1/2
semillas observadas en entrenamiento,HW2-0473SM,"REMACHADORA 10"" MANGO/AZUL S/M",FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.BLANCO BRIL GLN | ANTICORR.DURAC.BLANCO BRIL.LTR
semillas observadas en entrenamiento,HB-ZROJ1000,CMDO ZUNCHO ROJO 12*0.6*1000M,CERAMICA,"VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE GLN. | ANTICORR.DURAC.BLANCO BRIL GLN | DECORLAC FOND.CAT.BLANCO LITRO | BROCA DE TITANIUM 5/32"""
semillas observadas en entrenamiento,PI-ES039,ESMLT.DURACOLOR MARFIL 1/2 LTR,FERRETERIA,"VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.GRIS MATE.CNC | DECORLAC SELLADOR CATALI.LITRO | BROCA ITALY/ALMAN CONCRET 3/8 | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA DE TITANIUM 5/32"""
semillas observadas en entrenamiento,ME-AL1156RJ,ALAMBRE FLEX.THHN 10 CONEL ROJ,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | CILINDRO GLP 15KG-AGIPGAS | TORNILLO MDF 8X1-1/2 | BROCA ITALY/ALMAN CONCRET 3/8 | PINT.CAUCHO PLASC.BLANCO GALON | TORNILLO MDF 8X2
semillas observadas en entrenamiento,HE-ABT-512,ABRAZ.TITAN INDUSTRIAL 72-78,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | DECORLAC FOND.CAT.BLANCO LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | ANTICORR.DURAC.GRIS MATE.CNC
semillas observadas en entrenamiento,HB-FHPT2118,LLANA REC MANG PLST 12CM CMD,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | DECORLAC FOND.CAT.BLANCO LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | VIRUTA #8 DON BRILLO 10 UND
semillas observadas en entrenamiento,PI-PT6101-1G,P123.CAUCHO I.MARFIL GLN,FERRETERIA,ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #5 DON BRILLO 10 UND | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.BLANCO BRIL GLN | ANTICORR.DURAC.GRIS MATE LTRO.
semillas observadas en entrenamiento,P-N2021-011,IMP PARRILLA DE CARBON 60CM NG,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | ANTICORR.DURAC.GRIS MATE.CNC | TORNILLO MDF 8X1-1/2 | DECORLAC FOND.CAT.BLANCO LITRO | CILINDRO GLP 15KG-AGIPGAS
semillas observadas en entrenamiento,PI-5100-1LL,SINT.SECADO RAPIDO BLANCO LTR,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | DECORLAC SELLADOR CAT.GL | TEFLON.ALEM.CM.INDT 1/2X12MT | TORNILLO MDF 8X1-1/2
semillas observadas en entrenamiento,ME-CA1261,ALAMBRE SUCRE 3X18 CONELSA,FERRETERIA,DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #6 DON BRILLO 10 UND | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | PINT.CAUCHO PLASC.BLANCO GALON | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC FOND.CAT.BLANCO LITRO | VIRUTA #5 DON BRILLO 10 UND
semillas observadas en entrenamiento,HE-BR716TI,"BROCA DE TITANIUM 7/16""",FERRETERIA,"VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | BROCA ITALY/ALMAN CONCRET 3/8 | BROCA DE TITANIUM 5/32"" | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | BROCA ITALY/ALMAN CONCRET 1/4 | BROCA DE TITANIUM 1/8"" | DECORLAC SELLADOR CAT.GL | PINT.CAUCHO PLASC.BLANCO GALON"
semillas observadas en entrenamiento,PI-PN039,ABRO PNT.SPRAY PURPURA AUTO,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE GLN. | DECORLAC SELLADOR CATALI.LITRO | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | TORNILLO MDF 8X1-1/2 | ANTICORR.DURAC.GRIS MATE.CNC
semillas observadas en entrenamiento,BT260,CMDO CONEX BORNE P/BAT BLS 2PC,SIN_CATEGORIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE GLN. | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC SELLADOR CATALI.LITRO | CILINDRO GLP 15KG-AGIPGAS | TORNILLO MDF 8X1-1/2 | TEFLON.ALEM.CM.INDT 1/2X12MT
semillas observadas en entrenamiento,P3T500,POLITECHOS T/ZIN TRANS 5.00MT,FERRETERIA,DECORLAC SELLADOR CAT.GL | VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | CILINDRO GLP 15KG-AGIPGAS | DECORLAC FOND.CAT.BLANCO LITRO | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | TERMOPLASTIC DUCHA S/MANG 110V | ADITEC BETONCRYL 1 K
semillas observadas en entrenamiento,HB-24CT,TANQUE PRES HIDRONEUM 20LTS G1,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8 | ANTICORR.DURAC.NEGRO MATE GLN. | TORNILLO MDF 8X1-1/2
semillas observadas en entrenamiento,GR-BR0301,FV LL/PASO 3/4 E471.19 BR,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8 | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 1/4
semillas observadas en entrenamiento,PAC-ACB01,PACIFICO AC BUJE 1X3/4,FERRETERIA,DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | DECORLAC FOND.CAT.BLANCO LITRO | TORNILLO MDF 8X1-1/2
semillas observadas en entrenamiento,HE-GC037100,GARRU.IND.FIJA COMANDO 100MM,FERRETERIA,DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #6 DON BRILLO 10 UND | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE GLN. | VIRUTA #5 DON BRILLO 10 UND | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.GRIS MATE.CNC | ANTICORR.DURAC.BLANCO BRIL GLN
semillas observadas en entrenamiento,HW9-0102,"DUCTO P/VENTL-ALMB/ALUM 4""X3MT",FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC FOND.CAT.BLANCO LITRO | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8 | ANTICORR.DURAC.NEGRO MATE GLN.
semillas observadas en entrenamiento,MG-VA0040,VALV.CHECK 3/4  COMANDO,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | DECORLAC FOND.CAT.BLANCO LITRO | BROCA ITALY/ALMAN CONCRET 3/8
semillas observadas en entrenamiento,HB-BCR5-32,"BROCA RF MULT 5/32X7.5CM3,96MM",FERRETERIA,"VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | BROCA DE TITANIUM 5/32"" | BROCA ITALY/ALMAN CONCRET 3/8 | ANTICORR.DURAC.NEGRO MATE LTS. | TORNILLO MDF 8X1-1/2 | PINT.CAUCHO PLASC.BLANCO GALON | TORN. AUTOP. C/ARAN. 10X1 | BROCA DE TITANIUM 1/8"" | CILINDRO GLP 15KG-AGIPGAS"
semillas observadas en entrenamiento,HB-GHO5/1650,MANG GAS IND 420PSI NJ 50M VS,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | TORNILLO MDF 8X1-1/2 | TEFLON.ALEM.CM.INDT 1/2X12MT
semillas observadas en entrenamiento,500004,SUPERTECHO GL 1055X7.00X0.30MM,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE GLN. | PINT.CAUCHO PLASC.BLANCO GALON | BROCA ITALY/ALMAN CONCRET 3/8 | CILINDRO GLP 15KG-AGIPGAS | TORNILLO MDF 8X1-1/2
catálogo completo,HZ8F205-1,ADOR SANTA BOTA DORADO 10CM,HOGAR BAZAR,DECORLAC SELLADOR CAT.GL | VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | CILINDRO GLP 15KG-AGIPGAS | RIVAL CODO DESAGUE 50MMX90 | TEFLON.ALEM.CM.INDT 1/2X12MT | BROCA ITALY/ALMAN CONCRET 3/8
catálogo completo,HE-GC036125,GARRU.IND.GIRAT.COMAND.125MM,FERRETERIA,ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #6 DON BRILLO 10 UND | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE GLN. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.BLANCO BRIL GLN | ANTICORR.DURAC.BLANCO BRIL.LTR
catálogo completo,PE-EN1001,JABON LIQUID FRUST SILVEST GLN,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | CILINDRO GLP 15KG-AGIPGAS | DECORLAC FOND.CAT.BLANCO LITRO | BROCA ITALY/ALMAN CONCRET 3/8
catálogo completo,HE-VI000,SUELD AGA 6011 POR KILO,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,991-80162,"IMP TAPA CUBOS SET/4PZ 15"" NGR",HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,TA-CO035,CODO H3 - 1 1/2,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC SELLADOR CAT.GL | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8 | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 1/4
catálogo completo,ME-IN011,COMMUT DOBLE VETTO,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC FOND.CAT.BLANCO LITRO
catálogo completo,52003S,GORILLA GLUE PGA.B.AGUA 118ML,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC FOND.CAT.BLANCO LITRO
catálogo completo,1200034,PACIFICO AC NEPLO 1/2X10,FERRETERIA,"DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | TORNILLO MDF 8X1-1/2 | RIVAL CODO DESAGUE 50MMX90 | VIRUTA #6 DON BRILLO 10 UND | BROCA ITALY/ALMAN CONCRET 3/8 | BROCA DE TITANIUM 5/32"""
